"",President and Vice President,,,,,,,,,
"",De La Fuente/Steinberg,,,,,,,,,
"",Castle/Bradley,,,,,,,,,
"",Kennedy/Hart,,,,,,,,,
"",Johnson/Weld,,,,,,,,,
Bayonne W1 D1,Total 800 528 66.00 286,224,,3,8,,1,1,,2
Bayonne W1 D2,Stein/BToatraalka 778 499 64.14 313,175,2,6,1,,,,,1
Bayonne W1 D3,Total 647 396 61.21 227,152,,6,6,,1,,,2
Bayonne W1 D4,Total 759 482 63.50 261,196,1,7,9,,1,,1,2
Bayonne W1 D5,La Riva/PTuortyaelar 1076 689 64.03 364,300,2,7,3,,,1,1,2
Bayonne W1 D6,Total 696 472 67.82 220,234,,5,5,1,,,,2
Bayonne W1 D7,TrumpT/Poetanlce 841 540 64.21 262,252,2,10,2,,,1,,9
Bayonne W1 D8,Total 600 401 66.83 193,193,,4,4,1,,,,2
Bayonne W1 D9,Total 719 455 63.28 208,230,1,5,6,,,,1,1
"",Clinton/Kaine,,,,,,,,,
Bayonne W1 D10,Total 1046 682 65.20 350,311,1,4,6,,,,,4
Bayonne W1 D11,Total 571 358 62.70 198,146,,5,,1,,2,,2
Bayonne W1 D12,Total 757 446 58.92 231,202,,3,5,,,,1,
"",Turnout (%),,,,,,,,,
Bayonne W1 D13,Total 891 518 58.14 313,183,,8,6,,,,,3
Bayonne W1 D14,Total 706 435 61.61 243,172,,1,12,,,,,2
Bayonne W1 D15,Total 578 331 57.27 184,135,,4,3,,1,,,3
Ballots CastBa yonne W1 D16,Total 787 469 59.59 307,143,1,6,8,,,1,1,1
Bayonne Ward 1,Total 12252 7701 62.86 4160,3248,10,84,84,3,4,6,5,38
"",Registered,,,,,,,,,
Bayonne W2 D1,Total 676 453 67.01 230,206,,3,4,1,,,,2
Bayonne W2 D2,Total 713 424 59.47 301,108,,3,2,1,,1,,3
Bayonne W2 D3,Total 755 432 57.22 313,104,2,4,2,,2,,,2
Bayonne W2 D4,Total 704 403 57.24 257,126,1,6,7,,,1,,
Bayonne W2 D5,Total 713 417 58.49 237,171,,2,3,,,,,1
Bayonne W2 D6,Total 735 473 64.35 258,201,1,2,2,1,,,,1
Bayonne W2 D7,Total 617 384 62.24 228,138,2,4,5,1,,,,2
Bayonne W2 D8,Total 671 417 62.15 221,177,,9,6,1,,,,
Bayonne W2 D9,Total 658 411 62.46 232,161,2,7,2,,,,,2
Bayonne W2 D10,Total 612 327 53.43 199,110,2,9,4,,,,,3
Bayonne W2 D11,Total 622 364 58.52 174,174,1,7,3,,,,,2
Bayonne W2 D12,Total 746 429 57.51 251,163,3,1,8,1,,,,
Bayonne W2 D13,Total 782 467 59.72 250,197,,4,9,1,,,,2
Bayonne W2 D14,Total 369 209 56.64 124,72,2,4,3,1,,,,2
Bayonne W2 D15,Total 1071 656 61.25 359,268,2,13,5,,,,,3
Bayonne W2 D16,Total 777 476 61.26 317,133,,11,5,1,,,,5
Bayonne Ward 2,Total 11221 6742 60.08 3951,2509,18,89,70,9,2,2,,30
Bayonne W3 D1,Total 704 431 61.22 232,185,,6,1,,1,1,,3
Bayonne W3 D2,Total 428 263 61.45 140,109,,6,4,,,,,2
Bayonne W3 D3,Total 777 451 58.04 264,165,,8,9,,,1,,
Bayonne W3 D4,Total 549 360 65.57 197,146,,6,4,1,,1,,1
Bayonne W3 D5,Total 533 366 68.67 197,154,,3,6,,,,,2
Bayonne W3 D6,Total 541 339 62.66 194,130,,7,5,,,,,1
Bayonne W3 D7,Total 834 498 59.71 308,174,,4,6,,,,,2
Bayonne W3 D8,Total 686 424 61.81 222,189,1,3,5,,,,,2
Bayonne W3 D9,Total 601 366 60.90 216,140,,6,2,,,,,
Bayonne W3 D10,Total 586 378 64.51 216,140,,8,3,,,,,4
"",President and Vice President,,,,,,,,,
"",De La Fuente/Steinberg,,,,,,,,,
"",Castle/Bradley,,,,,,,,,
"",Kennedy/Hart,,,,,,,,,
"",Johnson/Weld,,,,,,,,,
Bayonne W3 D11,Total 696 458 65.80 249,192,,5,4,1,2,,1,
Bayonne W3 D12,Stein/BToatraalka 685 432 63.07 238,176,,6,4,2,,,,2
Bayonne W3 D13,Total 425 261 61.41 156,95,,3,1,,,,,3
Bayonne W3 D14,Total 611 372 60.88 219,134,1,4,5,,,,1,2
Bayonne W3 D15,La Riva/PTuortyaelar 522 301 57.66 163,127,1,5,3,1,,,,
Bayonne W3 D16,Total 770 465 60.39 278,173,,5,1,,,2,,2
Bayonne W3 D17,TrumpT/Poetanlce 687 402 58.52 229,157,1,2,8,,1,1,1,
Bayonne W3 D18,Total 545 373 68.44 253,110,,1,5,,,,,1
Bayonne W3 D19,Total 932 562 60.30 355,183,,13,4,,1,,,2
"",Clinton/Kaine,,,,,,,,,
Bayonne Ward 3,Total 12112 7502 61.94 4326,2879,4,101,80,5,5,6,3,29
Bayonne 8th Cong Mail-In,TurnoTuott a(%l ) 0 520 0.00 243,147,,4,11,1,1,,,5
Bayonne 10th Cong Mail-In,Total 0 455 0.00 245,178,,5,10,,1,,1,2
Bayonne 8th Cong Prov,Total 0 225 0.00 144,54,,3,,,1,1,,3
Bayonne 10th Cong Prov,BalloTtso Ctaalst 0 261 0.00 169,59,,4,3,,1,,,3
Bayonne Mail & Prov,Total 0 1461 0.00 801,438,,16,24,1,4,1,1,13
"",Registered,,,,,,,,,
Bayonne,Total 35585 23406 65.77 13238,9074,32,290,258,18,15,15,9,110
East Newark W1 D1,Total 436 253 58.03 171,66,1,5,6,,,,,1
East Newark W1 D2,Total 537 305 56.80 221,69,,3,4,,2,,,
East Newark Ward 1,Total 973 558 57.35 392,135,1,8,10,,2,,,1
East Newark Mail-In,Total 0 26 0.00 18,5,,2,,,,,,
East Newark Prov,Total 0 29 0.00 24,4,,,,,,,,
East Newark Mail & Prov,Total 0 55 0.00 42,9,,2,,,,,,
East Newark,Total 973 613 63.00 434,144,1,10,10,,2,,,1
Guttenberg W1 D1,Total 755 445 58.94 328,101,1,4,3,,,1,,
Guttenberg W1 D2,Total 910 533 58.57 402,105,3,10,6,,1,,,1
Guttenberg W1 D3,Total 935 541 57.86 429,88,2,12,2,,,,,3
Guttenberg W1 D4,Total 513 307 59.84 225,64,,5,8,,,,,
Guttenberg W1 D5,Total 781 470 60.18 327,118,1,9,6,,,2,,1
Guttenberg W1 D6,Total 1458 956 65.57 696,229,,6,10,,,,,7
Guttenberg Ward 1,Total 5352 3252 60.76 2407,705,7,46,35,,1,3,,12
Guttenberg Mail-In,Total 0 114 0.00 78,32,,1,1,,,,,
Guttenberg Prov,Total 0 120 0.00 89,12,,2,4,,,,,1
Guttenberg Mail & Prov,Total 0 234 0.00 167,44,,3,5,,,,,1
Guttenberg,Total 5352 3486 65.13 2574,749,7,49,40,,1,3,,13
"",Castle/Bradley,,,,,,,,,,,,,
"",Kennedy/Hart,,,,,,,,,,,,,
"",Johnson/Weld,,,,,,,,,,,,,
Bayonne W3 D11,Total,696,458,65.80,249,192,,5,4,1,2,,1,
Bayonne W3 D12,Stein/BToatraalka,685,432,63.07,238,176,,6,4,2,,,,2
Bayonne W3 D13,Total,425,261,61.41,156,95,,3,1,,,,,3
Bayonne W3 D14,Total,611,372,60.88,219,134,1,4,5,,,,1,2
Bayonne W3 D15,La Riva/PTuortyaelar,522,301,57.66,163,127,1,5,3,1,,,,
Bayonne W3 D16,Total,770,465,60.39,278,173,,5,1,,,2,,2
Bayonne W3 D17,TrumpT/Poetanlce,687,402,58.52,229,157,1,2,8,,1,1,1,
Bayonne W3 D18,Total,545,373,68.44,253,110,,1,5,,,,,1
Bayonne W3 D19,Total,932,562,60.30,355,183,,13,4,,1,,,2
"",Clinton/Kaine,,,,,,,,,,,,,
Bayonne Ward 3,Total,12112,7502,61.94,4326,2879,4,101,80,5,5,6,3,29
Bayonne 8th Cong Mail-In,TurnoTuott a(%l ),0,520,0.00,243,147,,4,11,1,1,,,5
Bayonne 10th Cong Mail-In,Total,0,455,0.00,245,178,,5,10,,1,,1,2
Bayonne 8th Cong Prov,Total,0,225,0.00,144,54,,3,,,1,1,,3
Bayonne 10th Cong Prov,BalloTtso Ctaalst,0,261,0.00,169,59,,4,3,,1,,,3
Bayonne Mail & Prov,Total,0,1461,0.00,801,438,,16,24,1,4,1,1,13
"",Registered,,,,,,,,,,,,,
Bayonne,Total,35585,23406,65.77,13238,9074,32,290,258,18,15,15,9,110
East Newark W1 D1,Total,436,253,58.03,171,66,1,5,6,,,,,1
East Newark W1 D2,Total,537,305,56.80,221,69,,3,4,,2,,,
East Newark Ward 1,Total,973,558,57.35,392,135,1,8,10,,2,,,1
East Newark Mail-In,Total,0,26,0.00,18,5,,2,,,,,,
East Newark Prov,Total,0,29,0.00,24,4,,,,,,,,
East Newark Mail & Prov,Total,0,55,0.00,42,9,,2,,,,,,
East Newark,Total,973,613,63.00,434,144,1,10,10,,2,,,1
Guttenberg W1 D1,Total,755,445,58.94,328,101,1,4,3,,,1,,
Guttenberg W1 D2,Total,910,533,58.57,402,105,3,10,6,,1,,,1
Guttenberg W1 D3,Total,935,541,57.86,429,88,2,12,2,,,,,3
Guttenberg W1 D4,Total,513,307,59.84,225,64,,5,8,,,,,
Guttenberg W1 D5,Total,781,470,60.18,327,118,1,9,6,,,2,,1
Guttenberg W1 D6,Total,1458,956,65.57,696,229,,6,10,,,,,7
Guttenberg Ward 1,Total,5352,3252,60.76,2407,705,7,46,35,,1,3,,12
Guttenberg Mail-In,Total,0,114,0.00,78,32,,1,1,,,,,
Guttenberg Prov,Total,0,120,0.00,89,12,,2,4,,,,,1
